,Destinos,Iniciales
86,LA PALMA ,SPC
87,LANZAROTE CÉSAR MANRIQUE ,ACE
88,LIMA ,LIM
89,LISBOA ,LIS
90,LOGROÑO - AGONCILLO ,RJL
91,LONDRES / HEATHROW ,LHR
92,LONDRES /GATWICK ,LGW
93,LONDRES /LUTON ,LTN
94,LONDRES /STANSTED ,STN
95,LOS ANGELES ,LAX
96,LUANDA /CUATRO DE FEBRERO ,LAD
97,LUXEMBURGO ,LUX
98,LUXOR ,LXR
99,LYON ,LYS
100,MADEIRA ,FNC
101,MALABO ,SSG
102,MALAGA-COSTA DEL SOL ,AGP
103,MALTA ,MLA
104,MANCHESTER ,MAN
105,MARRAKECH ,RAK
106,MARSELLA ,MRS
107,MEDELLÍN / RIONEGRO-ANTIOQUIA ,MDE
108,MELILLA ,MLN
109,MENORCA ,MAH
110,MEXICO ,MEX
111,MIAMI ,MIA
112,MILAN /LINATE ,LIN
113,MILAN /MALPENSA ,MXP
114,MILAN/BERGAMO ,BGY
115,MONTERREY ,MTY
116,MONTEVIDEO ,MVD
117,MONTPELLIER ,MPL
118,MUNICH ,MUC
119,NANTES-ATLANTIQUE ,NTE
120,NAPOLES ,NAP
121,NIZA /COTE D-AZUR ,NCE
122,NUEVA YORK / NEWARK-NUEVA JERSEY ,EWR
123,NUEVA YORK-J.F.KENNEDY ,JFK
124,OPORTO ,OPO
125,OSLO / GARDERMOEN ,OSL
126,PALERMO /PUNTA RAISI ,PMO
127,PALMA DE MALLORCA ,PMI
128,PAMPLONA ,PNA
129,PANAMA /TOCUMEN ,PTY
130,PARIS /BEAUVAIS-TILLE ,BVA
131,PARIS /CHARLES DE GAULLE ,CDG
132,PARIS /ORLY ,ORY
133,PISA / GALILEO GALILEI ,PSA
134,PRAGA ,PRG
135,PUNTA CANA ,PUJ
136,QUITO ,UIO
137,RABAT /SALE ,RBA
138,RIGA ,RIX
139,RIO DE JANEIRO ,GIG
140,ROMA /FIUMICINO ,FCO
141,SAN JOSEC.RICA ,SJO
142,SAN JUAN PUERTO RICO ,SJU
143,SAN PEDRO SULA ,SAP
144,SAN SALVADOR ,SAL
145,SAN SEBASTIAN ,EAS
146,SANTA CRUZ / VIRU VIRU INTL. ,VVI
147,SANTANDER-SEVE BALLESTEROS ,SDR
148,SANTIAGO DE CHILE ,SCL
149,SANTIAGO DE CUBA ,SCU
150,SANTIAGO-ROSALÍA DE CASTRO ,SCQ
151,SANTO DOMINGO ,SDQ
152,SAO PAULO /GUARULHOS ,GRU
153,SEVILLA ,SVQ
154,SIBIU / SIBIU TURNISOR ,SBZ
155,SOFIA ,SOF
156,TANGER ,TNG
157,TEL AVIV ,TLV
158,TENERIFE NORTE-C. LA LAGUNA ,TFN
159,TENERIFE SUR ,TFS
160,TETUAN ,TTU
161,TIMISOARA ,TSR
162,TIRANA ,TIA
163,TOULOUSE ,TLS
164,TUNEZ ,TUN
165,TURIN ,TRN
166,VALENCIA ,VLC
167,VARSOVIA ,WAW
168,VARSOVIA/MODLIN ,WMI
169,VENECIA /MARCO POLO ,VCE
170,VIENA ,VIE
171,VIGO ,VGO
172,ZURICH ,ZRH
